wallet,tx_count_365d,total_volume,active_weeks,avg_tx_value,tx_per_active_week,trader_activity_status,trader_volume_status,trader_consistency_status,future_tx_count,target_variable
0x15397c6d8ec5c41781636a3512a0f0d096d76512,7,0.0008640908091327436,2,0.00012344154416182052,3.5,Occasional User,Low Value,Inconsistent,0,Bad Trader
0x520b82da8ccc5bcc50929e6e05c570a4e2530efb,5,0.0001259325514023114,3,2.5186510280462283e-05,1.6666666666666667,Occasional User,Low Value,Moderate,0,Bad Trader
0x53808ee46caf102ca3dcbc8abb33e0a1959d9c50,13,0.0045431963895316485,2,0.00034947664534858836,6.5,Regular User,Medium Value,Inconsistent,0,Bad Trader
0x73e35295d7609230c9b57cd234a3077e3b835adc,1,5.2185622916960595e-06,1,5.2185622916960595e-06,1,Occasional User,Low Value,Inconsistent,0,Bad Trader
0xa3b0dcac2f6758eb43e8431d4cfcd95596419f66,7,35.957868159363684,3,5.1368383084805265,2.3333333333333335,Occasional User,Medium Value,Moderate,0,Bad Trader
0xe781923c6bc911e72cb0ffe626bd0ab0d848b3cb,310,2.0650101535877416,27,0.006661323076089489,11.481481481481481,Frequent User,Medium Value,Consistent,178,Good Trader
0x42556e0f1f972024dd07230a5d09aa3a9c51749a,1,4.424854038627414e-05,1,4.424854038627414e-05,1,Occasional User,Low Value,Inconsistent,0,Bad Trader
0xdfe87e95a374629a38ba3596265b88402ce46dea,8,0.00038928404902708854,3,4.866050612838607e-05,2.6666666666666665,Regular User,Low Value,Moderate,0,Bad Trader
0x5c0fb6f74ae77a5c5b3e846546fbb6bd4c6c1dc8,11,19.382887384265338,5,1.7620806712968489,2.2,Regular User,Medium Value,Moderate,8,Good Trader
0x3fb0de0a4be53685013b9503bcdf3c33e83502b6,2,0.00011343713232707882,2,5.671856616353941e-05,1,Occasional User,Low Value,Inconsistent,0,Bad Trader
0xb60b2cb3e6b12f0b8086616869e86faad1528339,1,8.371164190278513e-05,1,8.371164190278513e-05,1,Occasional User,Low Value,Inconsistent,0,Bad Trader
0x49af1d69032c2bc00e550defceca60524f1cd3c6,4237,6.955303787346699,53,0.001641563320119589,79.94339622641509,Frequent User,Medium Value,Consistent,818,Good Trader
0xd852dedfc0acdbb488138b78f39db9dca22f3ead,739,135.66962232023198,51,0.18358541585958318,14.490196078431373,Frequent User,Medium Value,Consistent,91,Good Trader
0xc034170a63ceb4b2cf003e33457067cfe2639832,788,834.715362096259,30,1.059283454436877,26.266666666666666,Frequent User,High Value,Consistent,59,Good Trader
0x25c9a517183751fd0fccdef5d32e08e4e6abedfa,51,0.00012651851373087771,9,2.4807551711936806e-06,5.666666666666667,Regular User,Low Value,Consistent,0,Bad Trader
0x2a8ea6f264ef6b64e3f1858b0b3444631e13ee92,16,174.43516489629945,2,10.902197806018716,8,Regular User,Medium Value,Inconsistent,0,Bad Trader
0xcc6d2f68729964ae3bfecbebf99752c7afe9ec94,61,1.3997699357385511,6,0.022947048126861495,10.166666666666666,Frequent User,Medium Value,Consistent,138,Good Trader
0x7c51ef8995877019020dd318432343944ed95671,1,0.00018140876244077114,1,0.00018140876244077114,1,Occasional User,Low Value,Inconsistent,0,Bad Trader
0xd861167951ddf3cc28fdac326e423273eb3d2d62,1,1.3840305629840624e-05,1,1.3840305629840624e-05,1,Occasional User,Low Value,Inconsistent,0,Bad Trader
0xfaa02e160085801635df665b5400dbf141fb9f5e,41,0.000151880668974261,10,3.7044065603478296e-06,4.1,Regular User,Low Value,Consistent,0,Bad Trader
0xeb034b5ad818a027acc94405489a325d9c1ab542,22,0.023955941478590065,3,0.0010889064308450028,7.333333333333333,Regular User,Medium Value,Moderate,0,Bad Trader
0xf79e4449c0067bd5f8cf59bd90bfa526def6cbdc,4,0.1737184394947167,1,0.04342960987367917,4,Occasional User,Medium Value,Inconsistent,0,Bad Trader
0xf36e4aed4217c3514c2592a1850a92d17bcf476b,143,7.766190334346392,17,0.05430902331710764,8.411764705882353,Frequent User,Medium Value,Consistent,109,Good Trader
0xe329a1b9a0d818187d38b5c17b7878dbc6a3329e,101,0.8025240395327672,13,0.007945782569631358,7.769230769230769,Frequent User,Medium Value,Consistent,38,Good Trader
0x3009f77f399b8f5cecdfcd1d18e939da5f0d35d3,1690,48.64712037427962,53,0.02878527832797611,31.88679245283019,Frequent User,Medium Value,Consistent,633,Good Trader
0x556935c970986be9106dccb3344f5fe113d36ada,500,36.31603800940151,25,0.07263207601880302,20,Frequent User,Medium Value,Consistent,379,Good Trader
0x6aa32432945e625cd9cff5bf715ac47e415814d0,32,0.5980541614163369,8,0.01868919254426053,4,Regular User,Medium Value,Consistent,40,Good Trader
0x84a0b81c9ed46ac19afe708743f2e5d7241c487d,13,64.98777681746263,4,4.999059755189434,3.25,Regular User,Medium Value,Moderate,0,Bad Trader
0x94d72cac49404349905beebe31ab7c3d730e3a77,1,0.00018140876244077114,1,0.00018140876244077114,1,Occasional User,Low Value,Inconsistent,0,Bad Trader
0x5daf8f0c245675d6fc60a5ed90062068c4625c1d,19,29.451942323831286,3,1.5501022275700678,6.333333333333333,Regular User,Medium Value,Moderate,0,Bad Trader
0xb7f867e5977444c7bf966049fd06a2aeca449831,7,0.00010449917056141685,6,1.4928452937345265e-05,1.1666666666666667,Occasional User,Low Value,Consistent,0,Bad Trader
0x96e58d72c89855113c1cd638294f64dc42b9145b,35,0.0001937714656002123,9,5.536327588577494e-06,3.888888888888889,Regular User,Low Value,Consistent,0,Bad Trader
0x694f75a4b7cf51a369ce4e4aaea2a6dfac093bf4,28,0.742634185836292,8,0.026522649494153287,3.5,Regular User,Medium Value,Consistent,132,Good Trader
0x3115f19e71b4a45c226cab343276e425032014eb,14,63.7346665247237,2,4.552476180337407,7,Regular User,Medium Value,Inconsistent,0,Bad Trader
0xc64b2eea11951f1a4ae549e53a3f33ff6f01e281,28,0.0011592280081489732,10,4.140100029103476e-05,2.8,Regular User,Low Value,Consistent,0,Bad Trader
0x92f047db0c9f9bf7aca1ace8125642d78edbd5dc,1,0.00018140876244077114,1,0.00018140876244077114,1,Occasional User,Low Value,Inconsistent,0,Bad Trader
0x54a8bba8dac362924649c60412b643f7f33c4be4,389,0.4743276412760833,41,0.0012193512629205226,9.487804878048781,Frequent User,Medium Value,Consistent,6,Good Trader
0x7f3a4ab99cce146c5a3530441eead49e0dcc5fcb,3,0.0005788469347817569,2,0.00019294897826058565,1.5,Occasional User,Low Value,Inconsistent,0,Bad Trader
0x015c9c02c698d69aa0aa70741d9d8bfe747e440d,617,197.5318115031233,40,0.3201488030844786,15.425,Frequent User,Medium Value,Consistent,83,Good Trader
0xc197dcc0f2a0b1d481898b6ca6abe8513c89c721,56,5.892789742620299,14,0.10522838826107676,4,Regular User,Medium Value,Consistent,71,Good Trader
0x4745469bcd05a15adb59cedb341d79704eef94df,3,0.16769159035013045,2,0.05589719678337682,1.5,Occasional User,Medium Value,Inconsistent,11,Good Trader
0x945ec5bb195633c4802514ef32291be0f7a2682c,44,0.0001560571478116384,8,3.546753359355418e-06,5.5,Regular User,Low Value,Consistent,0,Bad Trader
0x94b4c547e5dfb2f97dbeb9a3d46da1061d8ff627,7,0.2276293559295628,3,0.03251847941850897,2.3333333333333335,Occasional User,Medium Value,Moderate,5,Good Trader
0xebd3098668c54c137014508b577fe35725a5bafb,631,2.415272652454821,50,0.00382769041593474,12.62,Frequent User,Medium Value,Consistent,180,Good Trader
0x63997e1e46e081906596620211d1db21dfd6a586,10,0.00018838329524284783,5,1.8838329524284783e-05,2,Regular User,Low Value,Moderate,0,Bad Trader
0x411e76de51413e20c30a3ed8f15032d7e1e901a9,3,0.02310361303672331,1,0.007701204345574437,3,Occasional User,Medium Value,Inconsistent,5,Good Trader
0x3f432a053299eb0f397f5a494a4752b781a3c424,30,3.0377739465785742,9,0.10125913155261915,3.3333333333333335,Regular User,Medium Value,Consistent,0,Bad Trader
0x5e0629c7a77785fa2d077154de61ca80384e3e4a,8,0.01757062901312076,3,0.002196328626640095,2.6666666666666665,Regular User,Medium Value,Moderate,0,Bad Trader
0x03013d08ba7f1a6d50869565ed8e4fd48bce41e2,8,0.22638364697267613,3,0.028297955871584516,2.6666666666666665,Regular User,Medium Value,Moderate,85,Good Trader
0x7bf92811da0261772b504376d5b53a89db78da5b,1,0.000674144149149003,1,0.000674144149149003,1,Occasional User,Low Value,Inconsistent,0,Bad Trader
0x1d174ea08d127c8d9123a4a3b6a0c72469569e13,1,2.3955941478590066e-05,1,2.3955941478590066e-05,1,Occasional User,Low Value,Inconsistent,0,Bad Trader
0x609c2e55a234305308983119e8cbed179404cd68,444,0.10769609095173471,49,0.0002425587634048079,9.061224489795919,Frequent User,Medium Value,Consistent,117,Good Trader
0x0ce97c74b47d19c97d19a71ff7c0f062ad497c3f,4,0.25872416796877273,2,0.06468104199219318,2,Occasional User,Medium Value,Inconsistent,97,Good Trader
0xf791ee022d298f2d445ab9a77e9b25b18a814127,52,0.00020211723649252354,9,3.88686993254853e-06,5.777777777777778,Regular User,Low Value,Consistent,0,Bad Trader
0x7c08f3d5f014596915dd6a90f9273b15edd5b232,2,0.0001600889327624851,2,8.004446638124255e-05,1,Occasional User,Low Value,Inconsistent,0,Bad Trader
0x31a2e8f3f10f451ba8be7b9f3384d38b00c192e7,47,0.00014894031671717887,9,3.1689429088761464e-06,5.222222222222222,Regular User,Low Value,Consistent,0,Bad Trader
0x294f3998e1ed08d6b90bbc62f66b1b1b0a54e395,123,77.14363177798779,21,0.6271839981950227,5.857142857142857,Frequent User,Medium Value,Consistent,29,Good Trader
0x5da4d2c5726d52e4acc66900137fc9e60adedcf4,189,7.8902957820227835,22,0.04174759673027928,8.590909090909092,Frequent User,Medium Value,Consistent,150,Good Trader
0xc16e83c84666d097c00f2e50cbf7662e220c91b9,442,0.007186782443577019,51,1.6259688786373347e-05,8.666666666666666,Frequent User,Medium Value,Consistent,51,Good Trader
0x2ab0eb84b39b7fcc1f73b06cfb7c6080b39de808,118,0.000133123166796525,18,1.1281624304790252e-06,6.555555555555555,Frequent User,Low Value,Consistent,0,Bad Trader
0xbadbc6847926cce779e9b3522ad8b99726907673,28,0.000151880668974261,8,5.424309606223608e-06,3.5,Regular User,Low Value,Consistent,0,Bad Trader
0x0ea4be86f54511f2b12c14587f640dd2d68771e5,12,0.0005428847545995123,2,4.5240396216626024e-05,6,Regular User,Low Value,Inconsistent,0,Bad Trader
0xf0e91645ae965ce8d159cf659ba435c4bb11bc5a,3,10.775396700430562,3,3.591798900143521,1,Occasional User,Medium Value,Moderate,17,Good Trader
0xb8ce453ffb407d5ab8b9936227f3a9dc114d566a,37,0.0012124964396207662,2,3.2770174043804494e-05,18.5,Regular User,Low Value,Inconsistent,0,Bad Trader
0x5f7698d18737e783bae6ebd891d9fe594835a673,541,0.0702289573284585,53,0.00012981322981230777,10.20754716981132,Frequent User,Medium Value,Consistent,156,Good Trader
0xd24f7c81f075f80234f02c79496a0a9428437458,23,8.863698347078325,4,0.3853781890034054,5.75,Regular User,Medium Value,Moderate,36,Good Trader
0xb3948b77296b4e6cc8c4213b1c2ed02c1caf5923,7,0.00038928404902708854,2,5.561200700386979e-05,3.5,Occasional User,Low Value,Inconsistent,0,Bad Trader
0xc5df998c2e5b2488f23a401ee8c9824bc45e5a35,22,53.138728290465316,4,2.415396740475696,5.5,Regular User,Medium Value,Moderate,0,Bad Trader
0xd93350b77af752bfdc15f978058fbe19e6a0fa3c,150,79.76512742694645,26,0.531767516179643,5.769230769230769,Frequent User,Medium Value,Consistent,48,Good Trader
0xf1b429eb079889c866392eec821494fb34adc6c3,2,0.873053885673156,1,0.436526942836578,2,Occasional User,Medium Value,Inconsistent,0,Bad Trader
0xfd6c95499d2d6bae1f15ede7463d9126e980be92,1,0.08863698347078323,1,0.08863698347078323,1,Occasional User,Medium Value,Inconsistent,170,Good Trader
0x97d8dda2efd3b253583ba32019f02a5137c589d8,11,0.0005430332814366796,2,4.936666194878905e-05,5.5,Regular User,Low Value,Inconsistent,0,Bad Trader
0x0074e3d6428e1d868a899c15a0269a6d53f352a2,18,41.683024276117095,12,2.3157235708953943,1.5,Regular User,Medium Value,Consistent,5,Good Trader
0x669d3e8cc3f4d7f2db416411a1891475b1940277,11,0.39287744024887705,4,0.0357161309317161,2.75,Regular User,Medium Value,Moderate,445,Good Trader
0x7ee347291b412361432841c9bf3a2a660cee142e,110,0.0006267449233394647,20,5.697681121267861e-06,5.5,Frequent User,Low Value,Consistent,0,Bad Trader
0xe2d97865f52639b77316db529fd08d1d33527630,1,0.0023955941478590067,1,0.0023955941478590067,1,Occasional User,Medium Value,Inconsistent,0,Bad Trader
0xa203c8540ed154dda5c9ff898cf162ea2823b992,122,0.9599051330523296,42,0.007868074861084668,2.9047619047619047,Frequent User,Medium Value,Consistent,38,Good Trader
0x5a91acbc189994053a9db91fb9dc031116585285,8,0.0008640908091327436,3,0.00010801135114159295,2.6666666666666665,Regular User,Low Value,Moderate,0,Bad Trader
0xe30b4c6e09d1891b9469be5a52cf8e9696cb4d34,1,7.342160680007155e-05,1,7.342160680007155e-05,1,Occasional User,Low Value,Inconsistent,0,Bad Trader
0xff8d254fa61e07107837f4206b9f2db4b3125bcf,4,7.426341858362919,2,1.8565854645907298,2,Occasional User,Medium Value,Inconsistent,5,Good Trader
0x21de792dd06e973e019ead4ef68c692c0f150684,405,0.10543952391244962,44,0.0002603445034875299,9.204545454545455,Frequent User,Medium Value,Consistent,127,Good Trader
0x25e304db1479d8d6304a10fb0c531c24c197ec06,3,0.0012263736373246523,3,0.00040879121244155077,1,Occasional User,Low Value,Moderate,0,Bad Trader
0x9dc203461fb40f6624c018b324de8a9779447e69,1,0.0006847390164317481,1,0.0006847390164317481,1,Occasional User,Low Value,Inconsistent,0,Bad Trader
0x5587f942246c994d4b2ac4f0c1b48f569dab2df7,488,1.476738337427845,42,0.0030261031504668955,11.619047619047619,Frequent User,Medium Value,Consistent,176,Good Trader
0x88443c2bb8618e7bc726a417221323bd54ed9fbd,2,3.707038208162941e-05,2,1.8535191040814706e-05,1,Occasional User,Low Value,Inconsistent,0,Bad Trader
0xf51eb9e5f56edb1c12404a898c63a10d37fc63f9,499,33728.34086186771,40,67.59186545464472,12.475,Frequent User,High Value,Consistent,50,Good Trader
0xaf27d03ba2c72211a3fc41fb2c7d26c712266a33,1,0.00012885948833216555,1,0.00012885948833216555,1,Occasional User,Low Value,Inconsistent,0,Bad Trader
0x986155fd1c96aebfdf3abd62a8bdadda02b3fda5,1,0.00018140876244077114,1,0.00018140876244077114,1,Occasional User,Low Value,Inconsistent,0,Bad Trader
0x1551ae739bd31db29dcb1c4ec059d2ecce2270a2,382,0.19164753182872052,53,0.0005016951094992684,7.2075471698113205,Frequent User,Medium Value,Consistent,65,Good Trader
0x2c538fcc15089d443d7524c13e7755f13897c5b0,367,0.15290339739534423,31,0.00041663051061401697,11.838709677419354,Frequent User,Medium Value,Consistent,109,Good Trader
0x1a3b19978545fa909e16b3770cf31647f7bf0aba,140,4.793523140858901,14,0.034239451006135006,10,Frequent User,Medium Value,Consistent,130,Good Trader
0x1bce04b27ceb43406e9fa120261755c778c6fbf3,187,6.076003512003951,17,0.03249199739039546,11,Frequent User,Medium Value,Consistent,178,Good Trader
0x4bfb90c3daa6a6bffb92f0f2a64a34b8918a7862,475,0.01796695610894255,53,3.782517075566852e-05,8.962264150943396,Frequent User,Medium Value,Consistent,116,Good Trader
0x8bdb006a27a7612398549c560ad16ed929a35fba,421,0.015423026771448113,50,3.6634267865672475e-05,8.42,Frequent User,Medium Value,Consistent,119,Good Trader
0x5acff44b6c68051240b5e20badfeb36f0a31009a,9,0.0015763009492912262,3,0.00017514454992124736,3,Regular User,Low Value,Moderate,0,Bad Trader
0xaad293f56a6c7cccd6d02056039e615d246a1a47,1,0.00021692967422756534,1,0.00021692967422756534,1,Occasional User,Low Value,Inconsistent,0,Bad Trader
0x4bbb591894041cf281870d27d9b56970aa033cc3,34,188.92606089135757,19,5.556648849745811,1.7894736842105263,Regular User,Medium Value,Consistent,8,Good Trader
0x5b46bf6290ba0bb5fd2693b197953b807f38cd5e,31,0.02275814440466056,4,0.0007341336904729212,7.75,Regular User,Medium Value,Moderate,148,Good Trader
0xb21a2c5efce1eeabfefd1d73afa1996de10761d8,143,0.16741008819944034,15,0.0011706999174786038,9.533333333333333,Frequent User,Medium Value,Consistent,112,Good Trader
0xa0cb62397d4a3f96dc46259487bee24fe57239a4,1,12.964627274320426,1,12.964627274320426,1,Occasional User,Medium Value,Inconsistent,0,Bad Trader
